SKU,Thickness,Dimension,Width in Inches,Length in Inches,Width in mm,Length in mm,Weight (kg),is_round
MRC-MR-0189,1mm,39.2 x 56.75 Inch,39.2,56.75,996,1441,2.507,
MRC-MR-0190,1mm,39.2 x 57.75 Inch,39.2,57.75,996,1467,2.539,
MRC-MR-0191,1mm,39.2 x 58.75 Inch,39.2,58.75,996,1492,2.572,
MRC-MR-0192,1mm,39.2 x 59.75 Inch,39.2,59.75,996,1518,2.605,
MRC-MR-0193,1mm,39.2 x 60.75 Inch,39.2,60.75,996,1543,2.638,
MRC-MR-0194,1mm,40.5 x 40.5 Inch,40.5,40.5,1029,1029,3.717,
MRC-MR-0195,1mm,40.2 x 45.7 Inch,40.2,45.7,1021,1161,2.185,
MRC-MR-0196,1mm,40.2 x 46.7 Inch,40.2,46.7,1021,1186,2.568,
MRC-MR-0197,1mm,40.2 x 47.7 Inch,40.2,47.7,1021,1212,2.602,
MRC-MR-0198,1mm,40.2 x 48.7 Inch,40.2,48.7,1021,1237,2.635,
MRC-MR-0199,1mm,40.2 x 49.7 Inch,40.2,49.7,1021,1262,2.669,
MRC-MR-0200,1mm,40.2 x 50.7 Inch,40.2,50.7,1021,1288,2.702,
MRC-MR-0201,1mm,40.2 x 51.75 Inch,40.2,51.75,1021,1314,2.736,
MRC-MR-0202,1mm,40.2 x 52.75 Inch,40.2,52.75,1021,1340,2.77,
MRC-MR-0203,1mm,40.2 x 53.75 Inch,40.2,53.75,1021,1365,2.803,
MRC-MR-0204,1mm,40.2 x 54.75 Inch,40.2,54.75,1021,1391,2.837,
MRC-MR-0205,1mm,40.2 x 55.75 Inch,40.2,55.75,1021,1416,2.52,
MRC-MR-0206,1mm,40.2 x 56.75 Inch,40.2,56.75,1021,1441,2.554,
MRC-MR-0207,1mm,40.2 x 57.75 Inch,40.2,57.75,1021,1467,2.587,
MRC-MR-0208,1mm,40.2 x 58.75 Inch,40.2,58.75,1021,1492,2.621,
MRC-MR-0209,1mm,40.2 x 59.75 Inch,40.2,59.75,1021,1518,2.654,
MRC-MR-0210,1mm,40.2 x 60.75 Inch,40.2,60.75,1021,1543,2.688,
MRC-MR-0211,1mm,40.2 x 65.8 Inch,40.2,65.8,1021,1671,2.856,
MRC-MR-0212,1mm,41.2 x 45.7 Inch,41.2,45.7,1046,1161,2.572,
MRC-MR-0213,1mm,41.2 x 46.7 Inch,41.2,46.7,1046,1186,2.607,
MRC-MR-0214,1mm,41.2 x 47.7 Inch,41.2,47.7,1046,1212,2.641,
MRC-MR-0215,1mm,41.2 x 48.7 Inch,41.2,48.7,1046,1237,2.676,
MRC-MR-0216,1mm,41.2 x 49.7 Inch,41.2,49.7,1046,1262,2.71,
MRC-MR-0217,1mm,41.2 x 50.7 Inch,41.2,50.7,1046,1288,2.744,
MRC-MR-0218,1mm,41.2 x 51.75 Inch,41.2,51.75,1046,1314,2.779,
MRC-MR-0219,1mm,41.2 x 52.75 Inch,41.2,52.75,1046,1340,2.813,
MRC-MR-0220,1mm,41.2 x 53.75 Inch,41.2,53.75,1046,1365,2.848,
MRC-MR-0221,1mm,41.2 x 54.75 Inch,41.2,54.75,1046,1391,2.532,
MRC-MR-0222,1mm,41.2 x 55.75 Inch,41.2,55.75,1046,1416,2.566,
MRC-MR-0223,1mm,41.2 x 56.75 Inch,41.2,56.75,1046,1441,2.601,
MRC-MR-0224,1mm,41.2 x 57.75 Inch,41.2,57.75,1046,1467,2.635,
MRC-MR-0225,1mm,41.2 x 58.75 Inch,41.2,58.75,1046,1492,2.669,
